date,name,event,location,location_link,organizer,status,reg_type,entry_fee,players,tags
12/15/2024 12:00 AM CEST,Lorcana event 2,https://melee.gg/Tournament/View/164600,"1869 Scugog Streetunit 1Scugog, ON L9L 1J1CA",https://www.google.com/maps/dir/?api=1&destination=1869%20Scugog%20Street%2C%20Scugog%2C%20ON%20L9L%201J1,The Trading Card Store Lindsay,Registration,Open Registration,,0,"['Disney Lorcana', 'Weekly Play']"
12/15/2024 12:00 AM CEST,Azurite Sea League Week #4,https://melee.gg/Tournament/View/166967,"10135 224th Street EastGraham, WA 98338US",https://www.google.com/maps/dir/?api=1&destination=10135%20224th%20Street%20East%2C%20Graham%2C%20WA%2098338,Next Level the Gamers Den,Registration,Open Registration,,0,"['Disney Lorcana', 'Tabletop']"
12/14/2024 10:00 PM CEST,Lorcana tournament,https://melee.gg/Tournament/View/159777,"231 W Main StreetSuite 103Denison, Texas 75020US",https://www.google.com/maps/dir/?api=1&destination=231%20W%20Main%20Street%2C%20Denison%2C%20Texas%2075020,Krayus Games,Registration,Open Registration,,0,"['Disney Lorcana', 'Tabletop']"
12/14/2024 9:00 PM CEST,Casual Games Lorcana League - December 14th,https://melee.gg/Tournament/View/144962,"2540 Shaughnessy StreetUnit #110Port Coquitlam, British Columbia V3B 0K3CA",https://www.google.com/maps/dir/?api=1&destination=2540%20Shaughnessy%20Street%2C%20Port%20Coquitlam%2C%20British%20Columbia%20V3B%200K3,Casual Games Ltd.,Registration,Open Registration,,0,"['Disney Lorcana', 'Tabletop', 'Weekly Play']"
12/14/2024 8:00 PM CEST,December Lorcana League,https://melee.gg/Tournament/View/161217,"4107 Oleander DriveSuite D.Wilmington, NC 28403US",https://www.google.com/maps/dir/?api=1&destination=4107%20Oleander%20Drive%2C%20Wilmington%2C%20NC%2028403,Cape Fear Games,Registration,Open Registration,,0,"['Disney Lorcana', 'Tabletop']"
12/14/2024 7:00 PM CEST,Learn to Play Lorcana! @ Nutmeg Games,https://melee.gg/Tournament/View/161441,"178 Danbury RoadNUTMEG GAMESNew Milford, Connecticut 06776",https://www.google.com/maps/dir/?api=1&destination=178%20Danbury%20Road%2C%20New%20Milford%2C%20Connecticut%2006776,NUTMEG GAMES,Registration,Open Registration,,0,"['Disney Lorcana', 'Tabletop']"
12/14/2024 7:00 PM CEST,Lorcana League,https://melee.gg/Tournament/View/165929,"18-20 Winchester circleMilton KeynesMilton Keynes, Bucks MK10 0BAGB",https://www.google.com/maps/dir/?api=1&destination=18-20%20Winchester%20circle%2C%20Milton%20Keynes%2C%20Bucks%20MK10%200BA,Wargames Workshop MK,Registration,Open Registration,,0,"['Free Form', 'Disney Lorcana', 'Tabletop']"
12/14/2024 4:00 PM CEST,"Lorcana $8,000 Tournament Weekend",https://melee.gg/Tournament/View/149952,"6009 Memorial Drive14Stone Mountain, Georgia 30083US",https://www.google.com/maps/dir/?api=1&destination=6009%20Memorial%20Drive%2C%20Stone%20Mountain%2C%20Georgia%2030083,CharliesCollectibleShow,Registration,Open Registration,$60.00 + $5.58,2,"['Core', 'Disney Lorcana', 'Tabletop']"
12/14/2024 10:00 AM CEST,WIN-A-BOX - Lorcana Chapître 6 - 6ème jour de Ligue,https://melee.gg/Tournament/View/160488,"Avenue de la Résistance 257Soumagne, Liège 4630BE",https://www.google.com/maps/dir/?api=1&destination=Avenue%20de%20la%20R%C3%A9sistance%20257%2C%20Soumagne%2C%20Li%C3%A8ge%204630,FunChi,Registration,Open Registration,,0,"['Core', 'Disney Lorcana', 'Tabletop']"
12/14/2024 2:00 AM CEST,Weekly Lorcana Event - Duel (Best of 2),https://melee.gg/Tournament/View/158194,"60 place BourgetS #2Joliette, QC J6E 5E7CA",https://www.google.com/maps/dir/?api=1&destination=60%20place%20Bourget%2C%20Joliette%2C%20QC%20J6E%205E7,Topdeck Héroes Joliette,Registration,Open Registration,,0,"['Core', 'Disney Lorcana', 'Tabletop', 'Weekly Play']"
12/14/2024 2:00 AM CEST,2024-12-14 Ozzie Collectables Saturday Lorcana Locals,https://melee.gg/Tournament/View/163959,"2A/50 Princes HwyEumemmering, Vic 3177AU",https://www.google.com/maps/dir/?api=1&destination=2A%2F50%20Princes%20Hwy%2C%20Eumemmering%2C%20Vic%203177,Ozzie Collectables,Registration,Open Registration,,0,"['Disney Lorcana', 'Tabletop']"
12/14/2024 1:30 AM CEST,Weekly Lorcana Tournament,https://melee.gg/Tournament/View/145111,"1509 Texas AveLubbock, TX 79414US",https://www.google.com/maps/dir/?api=1&destination=1509%20Texas%20Ave%2C%20Lubbock%2C%20TX%2079414,Mad Hatter's House of Games,Registration,Open Registration,,0,"['Free Form', 'Disney Lorcana', 'Tabletop', 'Weekly Play']"
12/14/2024 1:00 AM CEST,CMD Lorcana Casual Weekly,https://melee.gg/Tournament/View/147762,"23 Princes StreetDunedin, Otago 9016NZ",https://www.google.com/maps/dir/?api=1&destination=23%20Princes%20Street%2C%20Dunedin%2C%20Otago%209016,Card Merchant Dunedin,Registration,Open Registration,,0,"['Disney Lorcana', 'Tabletop', 'Weekly Play']"
12/14/2024 1:00 AM CEST,Lorcana League - Constructed - 12/13/2024,https://melee.gg/Tournament/View/166469,"510 SW 3rd StreetBAnkeny, IA 50023US",https://www.google.com/maps/dir/?api=1&destination=510%20SW%203rd%20Street%2C%20Ankeny%2C%20IA%2050023,Atlas Games,Registration,Open Registration,,0,"['Disney Lorcana', 'Tabletop']"
12/14/2024 12:00 AM CEST,Lorcana Constructed @ Nutmeg Games,https://melee.gg/Tournament/View/161435,"178 Danbury RoadNUTMEG GAMESNew Milford, Connecticut 06776",https://www.google.com/maps/dir/?api=1&destination=178%20Danbury%20Road%2C%20New%20Milford%2C%20Connecticut%2006776,NUTMEG GAMES,Registration,Open Registration,,0,"['Disney Lorcana', 'Tabletop']"
12/13/2024 3:30 AM CEST,Weekly Lorcanna Draft,https://melee.gg/Tournament/View/166974,"10135 224th Street EastGraham, WA 98338US",https://www.google.com/maps/dir/?api=1&destination=10135%20224th%20Street%20East%2C%20Graham%2C%20WA%2098338,Next Level the Gamers Den,Registration,Open Registration,,0,"['Disney Lorcana', 'Tabletop']"
12/13/2024 1:00 AM CEST,Legends Great Mall Weekly Lorcana,https://melee.gg/Tournament/View/153895,"447 Great Mall DrUnit 406Milpitas, CA 95035US",https://www.google.com/maps/dir/?api=1&destination=447%20Great%20Mall%20Dr%2C%20Milpitas%2C%20CA%2095035,Legends Comics & Games LLC,Registration,Open Registration,,0,"['Disney Lorcana', 'Tabletop', 'Weekly Play']"
12/13/2024 12:45 AM CEST,Disney Lorcana Locals! Constructed Tournament,https://melee.gg/Tournament/View/167627,"2285 Whitney AveSuite 4Hamden, CT 06518US",https://www.google.com/maps/dir/?api=1&destination=2285%20Whitney%20Ave%2C%20Hamden%2C%20CT%2006518,Unison Games Cafe,Registration,Open Registration,,0,"['Disney Lorcana', 'Tabletop']"
12/13/2024 12:30 AM CEST,Disney Lorcana Thursday Weekly,https://melee.gg/Tournament/View/153961,"315 Fayette StreetSuite 3Manlius, NY 13104US",https://www.google.com/maps/dir/?api=1&destination=315%20Fayette%20Street%2C%20Manlius%2C%20NY%2013104,Unplugged Game Store,Registration,Open Registration,,0,"['Disney Lorcana', 'Tabletop']"
12/12/2024 9:00 AM CEST,2024-12-12 Ozzie Collectables Thursday Lorcana Locals,https://melee.gg/Tournament/View/163944,"2A/50 Princes HwyEumemmering, Vic 3177AU",https://www.google.com/maps/dir/?api=1&destination=2A%2F50%20Princes%20Hwy%2C%20Eumemmering%2C%20Vic%203177,Ozzie Collectables,Registration,Open Registration,,0,"['Disney Lorcana', 'Tabletop']"
